"","x"
"656","Western Carolina"
"657","Western Illinois"
"658","Western Kentucky"
"659","Western Michigan"
"660","Western Oregon"
"661","Western State"
"662","Westminster (PA)"
"663","Westminster College"
"664","Wheelock College"
"665","Wichita St"
"666","Widener"
"667","Wiley"
"668","Willamette"
"669","William & Mary"
"670","William Carey"
"671","William Jessup"
"672","William Jewell"
"673","William Woods"
"674","Williams Baptist"
"675","Winthrop"
"676","Wisconsin"
"677","Wisconsin-Superior"
"678","Wofford"
"679","Worcester State"
"680","Wright State"
"681","Wyoming"
"682","Xavier"
"683","Yale"
"684","York"
"685","Youngstown State"
"686","Abil Christian"
"687","Air Force"
"688","Akron"
"689","Alabama"
"690","Alabama A&M"
"691","Alabama State"
"692","Albany"
"693","Alcorn State"
"694","American U"
"695","Appalachian St"
"696","AR-Little Rock"
"697","AR-Pine Bluff"
"698","Arizona"
"699","Arizona State"
"700","Arkansas"
"701","Arkansas State"
"702","Army"
"703","Auburn"
"704","Austin Peay"
"705","Ball State"
"706","Baylor"
"707","Belmont"
"708","Bethune-Cookman"
"709","Binghamton"
"710","Boise State"
"711","Boston College"
"712","Boston University"
"713","Bowling Green"
"714","Bradley"
"715","Brown"
"716","Bryant"
"717","Bucknell"
"718","Buffalo"
"719","Butler"
"720","BYU"
"721","Cal"
"722","Cal Poly"
"723","Campbell"
"724","Canisius"
"725","Cent Arkansas"
"726","Cent Conn St"
"727","Cent Michigan"
"728","Charleston"
"729","Charleston So"
"730","Charlotte"
"731","Chattanooga"
"732","Chicago State"
"733","Cincinnati"
"734","Clemson"
"735","Cleveland State"
"736","Coast Carolina"
"737","Colgate"
"738","Colorado"
"739","Colorado State"
"740","Columbia"
"741","Coppin State"
"742","Cornell"
"743","Creighton"
"744","CS Fullerton"
"745","CS Northridge"
"746","CSU Bakersfield"
"747","Dartmouth"
"748","Davidson"
"749","Dayton"
"750","Delaware"
"751","Delaware State"
"752","Denver"
"753","DePaul"
"754","Detroit"
"755","Drake"
"756","Drexel"
"757","Duke"
"758","Duquesne"
"759","E Illinois"
"760","E Kentucky"
"761","E Michigan"
"762","E Washington"
"763","ECU"
"764","Elon"
"765","ETSU"
"766","Evansville"
"767","Fair Dickinson"
"768","Fairfield"
"769","FAU"
"770","FGCU"
"771","FIU"
"772","Florida"
"773","Florida A&M"
"774","Fordham"
"775","Fresno State"
"776","FSU"
"777","Furman"
"778","G Washington"
"779","Ga Southern"
"780","Gardner-Webb"
"781","George Mason"
"782","Georgetown"
"783","Georgia"
"784","Georgia State"
"785","Georgia Tech"
"786","Gonzaga"
"787","Grambling St"
"788","Grand Canyon"
"789","Green Bay"
"790","Hampton"
"791","Hartford"
"792","Harvard"
"793","Hawaii"
"794","High Point"
"795","Hofstra"
"796","Holy Cross"
"797","Houston"
"798","Houston Baptist"
"799","Howard"
"800","Idaho"
"801","Idaho State"
"802","Illinois"
"803","Illinois State"
"804","Incarnate Word"
"805","Indiana"
"806","Indiana State"
"807","Iona"
"808","Iowa"
"809","Iowa State"
"810","IPFW"
"811","IUPUI"
"812","Jackson State"
"813","Jacksonville"
"814","Jacksonville St"
"815","JMU"
"816","Kansas"
"817","Kansas State"
"818","Kennesaw St"
"819","Kent State"
"820","Kentucky"
"821","LA-Lafayette"
"822","La Salle"
"823","LA Tech"
"824","Lafayette"
"825","Lamar"
"826","LBSU"
"827","Lehigh"
"828","Liberty"
"829","Lipscomb"
"830","LIU Brooklyn"
"831","Longwood"
"832","Louisville"
"833","Loyola (CHI)"
"834","Loyola (MD)"
"835","Loyola Mary"
"836","LSU"
"837","Maine"
"838","Manhattan"
"839","Marist"
"840","Marquette"
"841","Marshall"
"842","Maryland"
"843","McNeese State"
"844","MD-E Shore"
"845","Memphis"
"846","Mercer"
"847","Miami"
"848","Miami (OH)"
"849","Michigan"
"850","Michigan State"
"851","Mid Tennessee"
"852","Milwaukee"
"853","Minnesota"
"854","Miss St"
"855","Miss Valley St"
"856","Missouri"
"857","Missouri State"
"858","Monmouth"
"859","Montana"
"860","Montana State"
"861","Morehead State"
"862","Morgan State"
"863","Mt St Mary's"
"864","Murray State"
"865","N Arizona"
"866","N Colorado"
"867","N Illinois"
"868","N Kentucky"
"869","Navy"
"870","NC A&T"
"871","NC Central"
"872","NC State"
"873","Nebraska"
"874","Nevada"
"875","New Mexico"
"876","New Mexico St"
"877","New Orleans"
"878","Niagara"
"879","Nicholls State"
"880","NJIT"
"881","Norfolk State"
"882","North Dakota"
"883","North Dakota St"
"884","North Florida"
"885","North Texas"
"886","Northeastern"
"887","Northern Iowa"
"888","Northwestern"
"889","Northwestern St"
"890","Notre Dame"
"891","Oakland"
"892","Ohio"
"893","Oklahoma"
"894","Oklahoma State"
"895","Old Dominion"
"896","Ole Miss"
"897","Omaha"
"898","Oral Roberts"
"899","Oregon"
"900","Oregon State"
"901","OSU"
"902","Pacific"
"903","Penn"
"904","Penn State"
"905","Pepperdine"
"906","Pitt"
"907","Portland"
"908","Portland State"
"909","Presbyterian"
"910","Princeton"
"911","Providence"
"912","Purdue"
"913","PV A&M"
"914","Quinnipiac"
"915","Radford"
"916","Rice"
"917","Richmond"
"918","Rider"
"919","Robert Morris"
"920","Rutgers"
"921","S Carolina St"
"922","S Illinois"
"923","Sacramento St"
"924","Sacred Heart"
"925","Saint Joe's"
"926","Saint Louis"
"927","Saint Mary's"
"928","Sam Houston"
"929","Samford"
"930","San Diego"
"931","San Diego State"
"932","San Francisco"
"933","San Jose State"
"934","Santa Clara"
"935","Savannah State"
"936","SE Louisiana"
"937","SE Missouri St"
"938","Seattle"
"939","Seton Hall"
"940","SF Austin"
"941","Siena"
"942","SIU ED"
"943","SMU"
"944","South Alabama"
"945","South Carolina"
"946","South Dakota"
"947","South Dakota St"
"948","Southern"
"949","Southern Miss"
"950","Southern Utah"
"951","St Bonaventure"
"952","St Francis (BKN)"
"953","St Francis (PA)"
"954","St John's"
"955","St Peter's"
"956","Stanford"
"957","Stetson"
"958","Stony Brook"
"959","Syracuse"
"960","TCU"
"961","Temple"
"962","Tenn Tech"
"963","Tennessee"
"964","Tennessee St"
"965","Texas"
"966","Texas A&M"
"967","Texas A&M-CC"
"968","Texas Southern"
"969","Texas State"
"970","Texas Tech"
"971","The Citadel"
"972","Toledo"
"973","Towson"
"974","Troy"
"975","Tulane"
"976","Tulsa"
"977","UAB"
"978","UC Davis"
"979","UC Irvine"
"980","UC Riverside"
"981","UCF"
"982","UCLA"
"983","UConn"
"984","UCSB"
"985","UIC"
"986","UL Monroe"
"987","UMass"
"988","UMass Lowell"
"989","UMBC"
"990","UMKC"
"991","UNC"
"992","UNC Asheville"
"993","UNC Wilmington"
"994","UNCG"
"995","UNH"
"996","UNLV"
"997","URI"
"998","USC"
"999","USC Upstate"
"1000","South Florida"
"1001","UT-Arlington"
"1002","UT Martin"
"1003","UT Rio Grande"
"1004","Utah"
"1005","Utah State"
"1006","Utah Valley"
"1007","UTEP"
"1008","UTSA"
"1009","UVA"
"1010","Valparaiso"
"1011","Vanderbilt"
"1012","VCU"
"1013","Vermont"
"1014","Villanova"
"1015","Virginia Tech"
"1016","VMI"
"1017","W Carolina"
"1018","W Illinois"
"1019","W Kentucky"
"1020","W Michigan"
"1021","Wagner"
"1022","Wake Forest"
"1023","Washington"
"1024","Washington St"
"1025","Weber State"
"1026","West Virginia"
"1027","Wichita State"
"1028","William & Mary"
"1029","Winthrop"
"1030","Wisconsin"
"1031","Wofford"
"1032","Wright State"
"1033","Wyoming"
"1034","Xavier"
"1035","Yale"
"1036","Youngstown St"
