"","Team","City","State","Type","Primary.Conference","lon","lat"
"152","Cardinals","Louisville","Kentucky","State","Atlantic Coast Conference",-85.7584557,38.2526647
"153","Ramblers[A 13]","Chicago","Illinois","Private/Catholic","Missouri Valley Conference",-87.6297982,41.8781136
"154","Greyhounds","Baltimore","Maryland","Private/Catholic","Patriot League",-76.6121893,39.2903848
"155","Lions","Los Angeles","California","Private/Catholic","West Coast Conference",-118.2436849,34.0522342
"150","Tigers and Lady Tigers[A 12]","Baton Rouge","Louisiana","State","Southeastern Conference",-91.1403196,30.4582829
"156","Black Bears","Orono","Maine","State","America East Conference",-68.6719411,44.8831125
"157","Jaspers and Lady Jaspers","Riverdale","New York","Private/Catholic","Metro Atlantic Athletic Conference",-73.9109977,40.8940853
"158","Red Foxes","Poughkeepsie","New York","Private/Catholic","Metro Atlantic Athletic Conference",-73.9209701,41.7003713
"159","Golden Eagles","Milwaukee","Wisconsin","Private/Catholic","Big East Conference",-87.9064736,43.0389025
"160","Thundering Herd","Huntington","West Virginia","State","Conference USA",-82.445154,38.4192496
"162","Terrapins","College Park","Maryland","State","Big Ten Conference",-76.93776,38.9896967
"165","Cowboys and Cowgirls","Lake Charles","Louisiana","State","Southland Conference",-93.2173758,30.2265949
"163","Hawks and Lady Hawks","Princess Anne","Maryland","State","Mid-Eastern Athletic Conference",-75.692427,38.2028993
"166","Tigers","Memphis","Tennessee","State","American Athletic Conference",-90.0489801,35.1495343
"167","Bears","Macon","Georgia","Private/Non-Sectarian","Southern Conference",-83.6324022,32.8406946
"168","Hurricanes[A 15]","Coral Gables","Florida","Private/Non-Sectarian","Atlantic Coast Conference",-80.2683838,25.72149
"169","Redhawks[A 16]","Oxford","Ohio","State","Mid-American Conference",-84.745231,39.5069974
"170","Wolverines","Ann Arbor","Michigan","State","Big Ten Conference",-83.7430378,42.2808256
"171","Spartans","East Lansing","Michigan","State","Big Ten Conference",-84.4838654,42.7369792
"172","Blue Raiders","Murfreesboro","Tennessee","State","Conference USA",-86.39027,35.8456213
"341","Panthers[A 40]","Milwaukee","Wisconsin","State","Horizon League",-87.9064736,43.0389025
"173","Golden Gophers","Minneapolis–Saint Paul","Minnesota","State","Big Ten Conference",-93.3225989,44.9515446
"175","Bulldogs","Starkville","Mississippi","State","Southeastern Conference",-88.8183872,33.4503998
"176","Delta Devils and Devilettes","Itta Bena","Mississippi","State","Southwestern Athletic Conference",-90.3198067,33.49512
"177","Tigers","Columbia","Missouri","State","Southeastern Conference",-92.3340724,38.9517053
"179","Bears and Lady Bears","Springfield","Missouri","State","Missouri Valley Conference",-93.2922989,37.2089572
"180","Hawks","West Long Branch","New Jersey","Private/Non-Sectarian","Metro Atlantic Athletic Conference",-74.0176381,40.2903891
"181","Grizzlies[A 18]","Missoula","Montana","State","Big Sky Conference",-113.996586,46.8787176
"182","Bobcats","Bozeman","Montana","State","Big Sky Conference",-111.0429339,45.6769979
"183","Eagles","Morehead","Kentucky","State","Ohio Valley Conference",-83.4326841,38.1839705
"184","Bears and Lady Bears","Baltimore","Maryland","State","Mid-Eastern Athletic Conference",-76.6121893,39.2903848
"185","Mountaineers","Emmitsburg","Maryland","Private/Catholic","Northeast Conference",-77.3269307,39.7045417
"186","Racers[A 19]","Murray","Kentucky","State","Ohio Valley Conference",-88.314761,36.6103334
"212","Lumberjacks","Flagstaff","Arizona","State","Big Sky Conference",-111.651302,35.1982836
"213","Bears","Greeley","Colorado","State","Big Sky Conference",-104.7091322,40.4233142
"214","Huskies","DeKalb","Illinois","State","Mid-American Conference",-88.7503647,41.9294736
